src,dst,peak,off_peak,senior_disabled,miles
25,99,3.9,3.1,1.95,7.72
25,98,4.6,3.4,2.3,9.53
25,6,5.55,3.85,2.75,11.82
25,19,6.0,3.85,3.0,14.31
25,76,5.35,3.85,2.65,11.42
25,51,5.6,3.85,2.8,12.03
25,61,5.9,3.85,2.95,12.74
25,69,6.0,3.85,3.0,13.32
25,8,6.0,3.85,3.0,18.95
25,74,6.0,3.85,3.0,20.07
25,28,6.0,3.85,3.0,21.41
25,29,6.0,3.85,3.0,23.12
25,84,6.0,3.85,3.0,25.01
25,90,6.0,3.85,3.0,27.02
25,44,6.0,3.85,3.0,28.92
36,81,2.0,2.0,1.0,2.4
36,73,2.0,2.0,1.0,1.7
36,25,2.0,2.0,1.0,1.19
36,49,2.0,2.0,1.0,0.71
36,43,2.0,2.0,1.0,1.34
36,42,2.0,2.0,1.0,2.31
36,82,2.05,2.0,1.0,3.07
36,4,2.7,2.45,1.35,4.75
36,45,3.1,2.6,1.55,5.77
36,35,4.0,3.15,2.0,7.97
36,21,4.55,3.4,2.25,9.35
36,5,5.0,3.7,2.5,10.44
36,62,5.75,3.85,2.85,12.39
36,17,6.0,3.85,3.0,15.06
36,63,2.0,2.0,1.0,2.63
36,50,2.0,2.0,1.0,2.98
36,100,2.2,2.1,1.1,3.46
36,20,2.5,2.3,1.25,4.31
36,12,2.7,2.45,1.35,4.79
36,101,3.0,2.6,1.5,5.45
36,97,3.5,2.6,1.75,6.77
36,9,3.95,3.15,1.95,7.92
36,86,4.55,3.4,2.25,9.43
36,54,5.2,3.8,2.6,11.01
36,22,5.9,3.85,2.95,12.73
36,83,2.3,2.2,1.15,3.72
36,64,2.0,2.0,1.0,2.4
36,59,2.0,2.0,1.0,2.46
36,72,2.0,2.0,1.0,2.56
36,95,2.0,2.0,1.0,2.79
36,32,2.3,2.2,1.15,3.72
36,77,2.6,2.35,1.3,4.5
36,10,2.8,2.45,1.4,4.94
36,40,3.0,2.6,1.5,5.51
36,68,3.2,2.6,1.6,6.0
36,57,3.4,2.6,1.7,6.44
36,33,4.0,3.15,2.0,7.94
36,80,4.5,3.4,2.25,9.31
36,65,4.75,3.4,2.35,9.9
36,34,5.0,3.7,2.5,10.49
36,13,5.2,3.8,2.6,10.99
36,23,2.0,2.0,1.0,2.67
36,93,2.0,2.0,1.0,3.02
36,60,2.2,2.1,1.1,3.46
36,11,2.3,2.15,1.15,3.71
36,66,2.45,2.3,1.2,4.18
36,70,2.65,2.4,1.3,4.62
36,56,2.9,2.55,1.45,5.22
36,1,3.05,2.6,1.5,5.64
36,53,3.7,3.0,1.85,7.26
36,67,3.95,3.15,1.95,7.92
36,96,4.4,3.35,2.2,8.96
36,26,5.0,3.7,2.5,10.56
36,38,5.55,3.85,2.75,11.86
36,78,2.0,2.0,1.0,2.73
36,15,2.0,2.0,1.0,2.84
36,46,2.0,2.0,1.0,2.89
36,2,2.05,2.05,1.0,3.15
36,91,2.35,2.25,1.15,3.93
36,47,3.0,2.6,1.5,5.45
36,52,3.7,3.0,1.85,7.29
36,39,4.15,3.25,2.05,8.39
36,88,4.9,3.65,2.45,10.25
36,79,5.8,3.85,2.9,12.49
36,24,2.0,2.0,1.0,2.63
36,41,2.0,2.0,1.0,2.96
36,18,2.2,2.1,1.1,3.46
36,48,2.45,2.3,1.2,4.17
36,16,2.65,2.4,1.3,4.66
36,58,3.1,2.6,1.55,5.78
36,7,3.6,2.95,1.8,7.04
36,55,3.95,3.15,1.95,7.9
36,94,4.25,3.3,2.1,8.58
36,37,4.75,3.4,2.35,9.93
36,87,5.45,3.85,2.7,11.62
36,89,3.9,3.1,1.95,7.78
36,27,4.5,3.4,2.25,9.21
36,14,4.9,3.65,2.45,10.19
36,71,5.45,3.85,2.7,11.58
36,3,5.95,3.85,2.95,12.84
36,31,5.8,3.85,2.9,12.53
36,102,6.0,3.85,3.0,15.79
36,75,2.65,2.4,1.3,4.67
36,30,2.85,2.55,1.4,5.16
36,92,3.05,2.6,1.5,5.61
36,85,3.25,2.6,1.6,6.12
36,99,4.1,3.2,2.05,8.28
