Dept,Arriv,ST_Peak,ST_Offpeak,RedST_Peak,RedST_Offpeak
Twinbrook Metro Station,White Flint Metro Station,2.25,2,1.1,1.1
Twinbrook Metro Station,Grosvenor-strathmore Metro Station,2.25,2,1.1,1.1
Twinbrook Metro Station,Medical Center Metro Station,2.8,2.4,1.4,1.4
Twinbrook Metro Station,Bethesda Metro Station,3.15,2.6,1.55,1.55
Twinbrook Metro Station,Foggy Bottom-gwu Metro Station,5.3,3.85,2.65,2.65
Twinbrook Metro Station,Court House Metro Station,5.7,3.85,2.85,2.85
Twinbrook Metro Station,Clarendon Metro Station,5.8,3.85,2.9,2.9
Twinbrook Metro Station,East Falls Church Metro Station,6,3.85,3,3
Twinbrook Metro Station,Virginia Square-gmu Metro Station,5.9,3.85,2.95,2.95
Twinbrook Metro Station,Ballston-mu Metro Station,5.95,3.85,2.95,2.95
Twinbrook Metro Station,Farragut West Metro Station,5,3.85,2.5,2.5
Twinbrook Metro Station,Farragut North Metro Station,5,3.85,2.5,2.5
Twinbrook Metro Station,Woodley Park-zoo Metro,4.5,3.7,2.25,2.25
Twinbrook Metro Station,L'enfant Plaza Metro Station,5.5,3.85,2.75,2.75
Twinbrook Metro Station,Smithsonian Metro Station,5.4,3.85,2.7,2.7
Twinbrook Metro Station,Pentagon City Metro Station,6,3.85,3,3
Twinbrook Metro Station,Federal Triangle Metro Station,5.25,3.85,2.6,2.6
Twinbrook Metro Station,Archives-navy Memorial Metro Station,5.35,3.85,2.65,2.6
Twinbrook Metro Station,Waterfront Metro Station,5.7,3.85,2.85,2.85
Twinbrook Metro Station,National Airport Metro Station,6,3.85,3,3
Twinbrook Metro Station,Van Dorn Street Metro Station,6,3.85,3,3
Twinbrook Metro Station,Franconia-springfield Metro Station,6,3.85,3,3
Twinbrook Metro Station,Federal Center Sw Metro Station,5.55,3.85,2.75,2.75
Twinbrook Metro Station,Judiciary Square Metro Station,5.35,3.85,2.65,2.65
Twinbrook Metro Station,Capitol South Metro Station,5.7,3.85,2.85,2.85
Twinbrook Metro Station,Metro Center,5.2,3.85,2.6,2.6
Twinbrook Metro Station,Gallery Pl-chinatown Metro Station,5.25,3.85,2.6,2.6
Twinbrook Metro Station,Mount Vernon Square Metro Station,5.25,3.85,2.6,2.6
Twinbrook Metro Station,U Street Metro Station,5.3,3.85,2.65,2.65
Twinbrook Metro Station,Union Station Metro Station,5.45,3.85,2.7,2.7
Twinbrook Metro Station,Congress Heights Metro Station,6,3.85,3,3
Twinbrook Metro Station,Naylor Road Metro Station,6,3.85,3,3
Twinbrook Metro Station,Suitland Metro Station,6,3.85,3,3
Twinbrook Metro Station,Branch Ave Metro Station,6,3.85,3,3
Twinbrook Metro Station,Braddock Road Metro Station,6,3.85,3,3
Twinbrook Metro Station,King Street Metro Station,6,3.85,3,3
Twinbrook Metro Station,Eisenhower Avenue Metro Station,6,3.85,3,3
Twinbrook Metro Station,Huntington Metro Station,6,3.85,3,3
Twinbrook Metro Station,Anacostia Metro Station,6,3.85,3,3
Twinbrook Metro Station,Eastern Market Metro Station,5.8,3.85,2.9,2.9
Twinbrook Metro Station,Potomac Ave Metro Station,5.95,3.85,2.95,2.95
Twinbrook Metro Station,Stadium-armory Metro Station,6,3.85,3,3
Twinbrook Metro Station,Rhode Island Ave Metro Station,5.55,3.85,2.75,2.75
Twinbrook Metro Station,Minnesota Ave Metro Station,6,3.85,3,3
Twinbrook Metro Station,Van Ness-udc Metro Station,4.1,3.4,2.05,2.05
Twinbrook Metro Station,Cleveland Park Metro Station,4.3,3.4,2.15,2.15
Twinbrook Metro Station,Columbia Heights Metro Station,5.3,3.85,2.65,2.65
Twinbrook Metro Station,Spring Hill Metro Station,6,3.85,3,3
Twinbrook Metro Station,Greensboro Metro Station,6,3.85,3,3
Twinbrook Metro Station,Tysons Corner Metro Station,6,3.85,3,3
Twinbrook Metro Station,Mclean Metro Station,6,3.85,3,3
Twinbrook Metro Station,Wiehle-reston East Metro Station,6,3.85,3,3
White Flint Metro Station,College Park-u Of Md Metro Station,6,3.85,3,3
White Flint Metro Station,Capitol Heights Metro Station,6,3.85,3,3
White Flint Metro Station,Morgan Boulevard Metro Station,6,3.85,3,3
White Flint Metro Station,Georgia Ave-petworth Metro Station,5.05,3.85,2.5,2.5
White Flint Metro Station,Takoma Metro Station,5.3,3.85,2.65,2.65
White Flint Metro Station,Glenmont Metro Station,5.7,3.85,2.85,2.85
White Flint Metro Station,Wheaton Metro Station,5.45,3.85,2.7,2.7
White Flint Metro Station,Forest Glen Metro Station,5.35,3.85,2.65,2.65
White Flint Metro Station,Silver Spring Metro Station,5.3,3.85,2.65,2.65
White Flint Metro Station,Brookland-cua Metro Station,5.3,3.85,2.65,2.65
White Flint Metro Station,Fort Totten Metro Station,5.3,3.85,2.65,2.65
White Flint Metro Station,Prince George's Plaza Metro Station,5.95,3.85,2.95,2.95
White Flint Metro Station,West Hyattsville Metro Station,5.7,3.85,2.85,2.85
White Flint Metro Station,Benning Road Metro Station,6,3.85,3,3
White Flint Metro Station,Addison Road-seat Pleasant Metro Station,6,3.85,3,3
White Flint Metro Station,Deanwood Metro Station,6,3.85,3,3
White Flint Metro Station,New Carrollton Metro Station,6,3.85,3,3
White Flint Metro Station,Landover Metro Station,6,3.85,3,3
White Flint Metro Station,Cheverly Metro Station,6,3.85,3,3
White Flint Metro Station,Largo Town Center Metro Station,6,3.85,3,3
White Flint Metro Station,Noma Metro,5.15,3.85,2.55,2.55
White Flint Metro Station,Rosslyn Metro Station,5.2,3.85,2.6,2.6
White Flint Metro Station,Arlington Cemetery Metro Station,5.45,3.85,2.7,2.7
White Flint Metro Station,Dupont Circle Metro Station,4.55,3.7,2.25,2.25
White Flint Metro Station,Pentagon Metro Station,5.6,3.85,2.8,2.8
White Flint Metro Station,Crystal City Metro Station,5.9,3.85,2.95,2.95
White Flint Metro Station,Navy Yard Metro Station,5.5,3.85,2.75,2.75
White Flint Metro Station,Mcpherson Square Metro Station,4.9,3.85,2.45,2.45
White Flint Metro Station,Shaw-howard U Metro,4.95,3.85,2.45,2.45
White Flint Metro Station,Southern Ave Metro Station,6,3.85,3,3
White Flint Metro Station,Greenbelt Metro Station,6,3.85,3,3
White Flint Metro Station,Tenleytown-au Metro Station,3.55,3,1.75,1.75
White Flint Metro Station,West Falls Church Metro Station,6,3.85,3,3
White Flint Metro Station,Dunn Loring-merrifield Metro Station,6,3.85,3,3
White Flint Metro Station,Vienna Metro Station,6,3.85,3,3
White Flint Metro Station,Friendship Heights Metro Station,3.35,2.6,1.65,1.65
White Flint Metro Station,Shady Grove Metro Station,3.15,2.6,1.55,1.55
White Flint Metro Station,Rockville Metro Station,2.3,2,1.15,1.15
White Flint Metro Station,Twinbrook Metro Station,2.25,2,1.1,1.1
White Flint Metro Station,White Flint Metro Station,0,0,0,0
White Flint Metro Station,Grosvenor-strathmore Metro Station,2.25,2,1.1,1.1
White Flint Metro Station,Medical Center Metro Station,2.45,2.15,1.2,1.2
White Flint Metro Station,Bethesda Metro Station,2.8,2.4,1.4,1.4
White Flint Metro Station,Foggy Bottom-gwu Metro Station,5,3.85,2.5,2.5
White Flint Metro Station,Court House Metro Station,5.35,3.85,2.65,2.65
White Flint Metro Station,Clarendon Metro Station,5.45,3.85,2.7,2.7
White Flint Metro Station,East Falls Church Metro Station,6,3.85,3,3
White Flint Metro Station,Virginia Square-gmu Metro Station,5.55,3.85,2.75,2.75
White Flint Metro Station,Ballston-mu Metro Station,5.65,3.85,2.8,2.8
White Flint Metro Station,Farragut West Metro Station,4.7,3.8,2.35,2.35
White Flint Metro Station,Farragut North Metro Station,4.7,3.8,2.35,2.35
White Flint Metro Station,Woodley Park-zoo Metro,4.2,3.4,2.1,2.1
White Flint Metro Station,L'enfant Plaza Metro Station,5.2,3.85,2.6,2.6
White Flint Metro Station,Smithsonian Metro Station,5.05,3.85,2.5,2.5
White Flint Metro Station,Pentagon City Metro Station,5.75,3.85,2.85,2.85
White Flint Metro Station,Federal Triangle Metro Station,4.95,3.85,2.45,2.45
White Flint Metro Station,Archives-navy Memorial Metro Station,5.05,3.85,2.5,2.45
White Flint Metro Station,Waterfront Metro Station,5.4,3.85,2.7,2.7
White Flint Metro Station,National Airport Metro Station,6,3.85,3,3
White Flint Metro Station,Van Dorn Street Metro Station,6,3.85,3,3
White Flint Metro Station,Franconia-springfield Metro Station,6,3.85,3,3
White Flint Metro Station,Federal Center Sw Metro Station,5.25,3.85,2.6,2.6
White Flint Metro Station,Judiciary Square Metro Station,5.05,3.85,2.5,2.5
White Flint Metro Station,Capitol South Metro Station,5.35,3.85,2.65,2.65
White Flint Metro Station,Metro Center,4.9,3.85,2.45,2.45
White Flint Metro Station,Gallery Pl-chinatown Metro Station,4.95,3.85,2.45,2.45
White Flint Metro Station,Mount Vernon Square Metro Station,4.95,3.85,2.45,2.45
White Flint Metro Station,U Street Metro Station,4.95,3.85,2.45,2.45
White Flint Metro Station,Union Station Metro Station,5.15,3.85,2.55,2.55
White Flint Metro Station,Congress Heights Metro Station,6,3.85,3,3
White Flint Metro Station,Naylor Road Metro Station,6,3.85,3,3
White Flint Metro Station,Suitland Metro Station,6,3.85,3,3
White Flint Metro Station,Branch Ave Metro Station,6,3.85,3,3
White Flint Metro Station,Braddock Road Metro Station,6,3.85,3,3
White Flint Metro Station,King Street Metro Station,6,3.85,3,3
White Flint Metro Station,Eisenhower Avenue Metro Station,6,3.85,3,3
White Flint Metro Station,Huntington Metro Station,6,3.85,3,3
White Flint Metro Station,Anacostia Metro Station,5.85,3.85,2.9,2.9
White Flint Metro Station,Eastern Market Metro Station,5.5,3.85,2.75,2.75
White Flint Metro Station,Potomac Ave Metro Station,5.65,3.85,2.8,2.8
White Flint Metro Station,Stadium-armory Metro Station,5.75,3.85,2.85,2.85
White Flint Metro Station,Rhode Island Ave Metro Station,5.25,3.85,2.6,2.6
White Flint Metro Station,Minnesota Ave Metro Station,6,3.85,3,3
White Flint Metro Station,Van Ness-udc Metro Station,3.8,3.15,1.9,1.9
White Flint Metro Station,Cleveland Park Metro Station,4,3.3,2,2
White Flint Metro Station,Columbia Heights Metro Station,5,3.85,2.5,2.5
White Flint Metro Station,Spring Hill Metro Station,6,3.85,3,3
White Flint Metro Station,Greensboro Metro Station,6,3.85,3,3
White Flint Metro Station,Tysons Corner Metro Station,6,3.85,3,3
White Flint Metro Station,Mclean Metro Station,6,3.85,3,3
White Flint Metro Station,Wiehle-reston East Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,College Park-u Of Md Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Capitol Heights Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Morgan Boulevard Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Georgia Ave-petworth Metro Station,4.65,3.8,2.3,2.3
Grosvenor-strathmore Metro Station,Takoma Metro Station,4.9,3.85,2.45,2.45
Grosvenor-strathmore Metro Station,Glenmont Metro Station,5.5,3.85,2.75,2.75
Grosvenor-strathmore Metro Station,Wheaton Metro Station,5.15,3.85,2.55,2.55
Grosvenor-strathmore Metro Station,Forest Glen Metro Station,5,3.85,2.5,2.5
Grosvenor-strathmore Metro Station,Silver Spring Metro Station,4.95,3.85,2.45,2.45
Grosvenor-strathmore Metro Station,Brookland-cua Metro Station,4.9,3.85,2.45,2.45
Grosvenor-strathmore Metro Station,Fort Totten Metro Station,4.9,3.85,2.45,2.45
Grosvenor-strathmore Metro Station,Prince George's Plaza Metro Station,5.55,3.85,2.75,2.75
Grosvenor-strathmore Metro Station,West Hyattsville Metro Station,5.35,3.85,2.65,2.65
Grosvenor-strathmore Metro Station,Benning Road Metro Station,5.85,3.85,2.9,2.9
Grosvenor-strathmore Metro Station,Addison Road-seat Pleasant Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Deanwood Metro Station,5.8,3.85,2.9,2.9
Grosvenor-strathmore Metro Station,New Carrollton Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Landover Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Cheverly Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Largo Town Center Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Noma Metro,4.8,3.85,2.4,2.4
Grosvenor-strathmore Metro Station,Rosslyn Metro Station,4.8,3.85,2.4,2.4
Grosvenor-strathmore Metro Station,Arlington Cemetery Metro Station,5.05,3.85,2.5,2.5
Grosvenor-strathmore Metro Station,Dupont Circle Metro Station,4.15,3.4,2.05,2.05
Grosvenor-strathmore Metro Station,Pentagon Metro Station,5.2,3.85,2.6,2.6
Grosvenor-strathmore Metro Station,Crystal City Metro Station,5.5,3.85,2.75,2.75
Grosvenor-strathmore Metro Station,Navy Yard Metro Station,5.1,3.85,2.55,2.55
Grosvenor-strathmore Metro Station,Mcpherson Square Metro Station,4.5,3.7,2.25,2.25
Grosvenor-strathmore Metro Station,Shaw-howard U Metro,4.55,3.75,2.25,2.25
Grosvenor-strathmore Metro Station,Southern Ave Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Greenbelt Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Tenleytown-au Metro Station,3.15,2.6,1.55,1.55
Grosvenor-strathmore Metro Station,West Falls Church Metro Station,5.9,3.85,2.95,2.95
Grosvenor-strathmore Metro Station,Dunn Loring-merrifield Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Vienna Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Friendship Heights Metro Station,2.9,2.5,1.45,1.45
Grosvenor-strathmore Metro Station,Shady Grove Metro Station,3.55,2.95,1.75,1.75
Grosvenor-strathmore Metro Station,Rockville Metro Station,2.7,2.35,1.35,1.35
Grosvenor-strathmore Metro Station,Twinbrook Metro Station,2.25,2,1.1,1.1
Grosvenor-strathmore Metro Station,White Flint Metro Station,2.25,2,1.1,1.1
Grosvenor-strathmore Metro Station,Grosvenor-strathmore Metro Station,0,0,0,0
Grosvenor-strathmore Metro Station,Medical Center Metro Station,2.25,2,1.1,1.1
Grosvenor-strathmore Metro Station,Bethesda Metro Station,2.35,2.05,1.15,1.15
Grosvenor-strathmore Metro Station,Foggy Bottom-gwu Metro Station,4.6,3.75,2.3,2.3
Grosvenor-strathmore Metro Station,Court House Metro Station,5,3.85,2.5,2.5
Grosvenor-strathmore Metro Station,Clarendon Metro Station,5.1,3.85,2.55,2.55
Grosvenor-strathmore Metro Station,East Falls Church Metro Station,5.65,3.85,2.8,2.8
Grosvenor-strathmore Metro Station,Virginia Square-gmu Metro Station,5.2,3.85,2.6,2.6
Grosvenor-strathmore Metro Station,Ballston-mu Metro Station,5.3,3.85,2.65,2.65
Grosvenor-strathmore Metro Station,Farragut West Metro Station,4.3,3.4,2.15,2.15
Grosvenor-strathmore Metro Station,Farragut North Metro Station,4.3,3.4,2.15,2.15
Grosvenor-strathmore Metro Station,Woodley Park-zoo Metro,3.8,3.15,1.9,1.9
Grosvenor-strathmore Metro Station,L'enfant Plaza Metro Station,4.8,3.85,2.4,2.4
Grosvenor-strathmore Metro Station,Smithsonian Metro Station,4.65,3.8,2.3,2.3
Grosvenor-strathmore Metro Station,Pentagon City Metro Station,5.35,3.85,2.65,2.65
Grosvenor-strathmore Metro Station,Federal Triangle Metro Station,4.55,3.75,2.25,2.25
Grosvenor-strathmore Metro Station,Archives-navy Memorial Metro Station,4.65,3.7,2.3,2.25
Grosvenor-strathmore Metro Station,Waterfront Metro Station,5,3.85,2.5,2.5
Grosvenor-strathmore Metro Station,National Airport Metro Station,5.65,3.85,2.8,2.8
Grosvenor-strathmore Metro Station,Van Dorn Street Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Franconia-springfield Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Federal Center Sw Metro Station,4.85,3.85,2.4,2.4
Grosvenor-strathmore Metro Station,Judiciary Square Metro Station,4.65,3.8,2.3,2.3
Grosvenor-strathmore Metro Station,Capitol South Metro Station,4.95,3.85,2.45,2.45
Grosvenor-strathmore Metro Station,Metro Center,4.5,3.65,2.25,2.25
Grosvenor-strathmore Metro Station,Gallery Pl-chinatown Metro Station,4.55,3.7,2.25,2.25
Grosvenor-strathmore Metro Station,Mount Vernon Square Metro Station,4.55,3.7,2.25,2.25
Grosvenor-strathmore Metro Station,U Street Metro Station,4.55,3.75,2.25,2.25
Grosvenor-strathmore Metro Station,Union Station Metro Station,4.75,3.85,2.35,2.35
Grosvenor-strathmore Metro Station,Congress Heights Metro Station,5.8,3.85,2.9,2.9
Grosvenor-strathmore Metro Station,Naylor Road Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Suitland Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Branch Ave Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Braddock Road Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,King Street Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Eisenhower Avenue Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Huntington Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Anacostia Metro Station,5.45,3.85,2.7,2.7
Grosvenor-strathmore Metro Station,Eastern Market Metro Station,5.1,3.85,2.55,2.55
Grosvenor-strathmore Metro Station,Potomac Ave Metro Station,5.25,3.85,2.6,2.6
Grosvenor-strathmore Metro Station,Stadium-armory Metro Station,5.35,3.85,2.65,2.65
Grosvenor-strathmore Metro Station,Rhode Island Ave Metro Station,4.85,3.85,2.4,2.4
Grosvenor-strathmore Metro Station,Minnesota Ave Metro Station,5.7,3.85,2.85,2.85
Grosvenor-strathmore Metro Station,Van Ness-udc Metro Station,3.4,2.6,1.7,1.7
Grosvenor-strathmore Metro Station,Cleveland Park Metro Station,3.6,3,1.8,1.8
Grosvenor-strathmore Metro Station,Columbia Heights Metro Station,4.6,3.75,2.3,2.3
Grosvenor-strathmore Metro Station,Spring Hill Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Greensboro Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Tysons Corner Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Mclean Metro Station,6,3.85,3,3
Grosvenor-strathmore Metro Station,Wiehle-reston East Metro Station,6,3.85,3,3
Medical Center Metro Station,College Park-u Of Md Metro Station,5.55,3.85,2.75,2.75
Medical Center Metro Station,Capitol Heights Metro Station,5.65,3.85,2.8,2.8
Medical Center Metro Station,Morgan Boulevard Metro Station,6,3.85,3,3
Medical Center Metro Station,Georgia Ave-petworth Metro Station,4.05,3.35,2,2
Medical Center Metro Station,Takoma Metro Station,4.4,3.6,2.2,2.2
Medical Center Metro Station,Glenmont Metro Station,5.4,3.85,2.7,2.7
Medical Center Metro Station,Wheaton Metro Station,4.95,3.85,2.45,2.45
Medical Center Metro Station,Forest Glen Metro Station,4.65,3.8,2.3,2.3
Medical Center Metro Station,Silver Spring Metro Station,4.45,3.65,2.2,2.2
Medical Center Metro Station,Brookland-cua Metro Station,4.3,3.4,2.15,2.15
Medical Center Metro Station,Fort Totten Metro Station,4.35,3.4,2.15,2.15
Medical Center Metro Station,Prince George's Plaza Metro Station,5.05,3.85,2.5,2.5
Medical Center Metro Station,West Hyattsville Metro Station,4.85,3.85,2.4,2.4
Medical Center Metro Station,Benning Road Metro Station,5.3,3.85,2.65,2.65
Medical Center Metro Station,Addison Road-seat Pleasant Metro Station,5.95,3.85,2.95,2.95
Medical Center Metro Station,Deanwood Metro Station,5.25,3.85,2.6,2.6
Medical Center Metro Station,New Carrollton Metro Station,6,3.85,3,3
Medical Center Metro Station,Landover Metro Station,5.85,3.85,2.9,2.9
Medical Center Metro Station,Cheverly Metro Station,5.5,3.85,2.75,2.75
Medical Center Metro Station,Largo Town Center Metro Station,6,3.85,3,3
Medical Center Metro Station,Noma Metro,4.15,3.4,2.05,2.05
Medical Center Metro Station,Rosslyn Metro Station,4.15,3.4,2.05,2.05
Medical Center Metro Station,Arlington Cemetery Metro Station,4.4,3.6,2.2,2.2
Medical Center Metro Station,Dupont Circle Metro Station,3.5,2.6,1.75,1.75
Medical Center Metro Station,Pentagon Metro Station,4.55,3.7,2.25,2.25
Medical Center Metro Station,Crystal City Metro Station,4.85,3.85,2.4,2.4
Medical Center Metro Station,Navy Yard Metro Station,4.5,3.7,2.25,2.25
Medical Center Metro Station,Mcpherson Square Metro Station,3.85,3.2,1.9,1.9
Medical Center Metro Station,Shaw-howard U Metro,3.95,3.25,1.95,1.95
Medical Center Metro Station,Southern Ave Metro Station,5.45,3.85,2.7,2.7
Medical Center Metro Station,Greenbelt Metro Station,6,3.85,3,3
Medical Center Metro Station,Tenleytown-au Metro Station,2.45,2.15,1.2,1.2
Medical Center Metro Station,West Falls Church Metro Station,5.35,3.85,2.65,2.65
Medical Center Metro Station,Dunn Loring-merrifield Metro Station,6,3.85,3,3
Medical Center Metro Station,Vienna Metro Station,6,3.85,3,3
Medical Center Metro Station,Friendship Heights Metro Station,2.25,2,1.1,1.1
Medical Center Metro Station,Shady Grove Metro Station,4.2,3.4,2.1,2.1
Medical Center Metro Station,Rockville Metro Station,3.4,2.6,1.7,1.7
Medical Center Metro Station,Twinbrook Metro Station,2.8,2.4,1.4,1.4
Medical Center Metro Station,White Flint Metro Station,2.45,2.15,1.2,1.2
Medical Center Metro Station,Grosvenor-strathmore Metro Station,2.25,2,1.1,1.1
Medical Center Metro Station,Medical Center Metro Station,0,0,0,0
Medical Center Metro Station,Bethesda Metro Station,2.25,2,1.1,1.1
Medical Center Metro Station,Foggy Bottom-gwu Metro Station,3.95,3.25,1.95,1.95
Medical Center Metro Station,Court House Metro Station,4.35,3.4,2.15,2.15
Medical Center Metro Station,Clarendon Metro Station,4.45,3.65,2.2,2.2
Medical Center Metro Station,East Falls Church Metro Station,5.05,3.85,2.5,2.5
Medical Center Metro Station,Virginia Square-gmu Metro Station,4.55,3.7,2.25,2.25
Medical Center Metro Station,Ballston-mu Metro Station,4.65,3.8,2.3,2.3
Medical Center Metro Station,Farragut West Metro Station,3.65,3.05,1.8,1.8
Medical Center Metro Station,Farragut North Metro Station,3.65,3.05,1.8,1.8
Medical Center Metro Station,Woodley Park-zoo Metro,3.15,2.6,1.55,1.55
Medical Center Metro Station,L'enfant Plaza Metro Station,4.15,3.4,2.05,2.05
Medical Center Metro Station,Smithsonian Metro Station,4.05,3.35,2,2
Medical Center Metro Station,Pentagon City Metro Station,4.7,3.85,2.35,2.35
Medical Center Metro Station,Federal Triangle Metro Station,3.95,3.25,1.95,1.95
Medical Center Metro Station,Archives-navy Memorial Metro Station,4,3.25,2,1.95
Medical Center Metro Station,Waterfront Metro Station,4.35,3.4,2.15,2.15
Medical Center Metro Station,National Airport Metro Station,5,3.85,2.5,2.5
Medical Center Metro Station,Van Dorn Street Metro Station,6,3.85,3,3
Medical Center Metro Station,Franconia-springfield Metro Station,6,3.85,3,3
Medical Center Metro Station,Federal Center Sw Metro Station,4.2,3.4,2.1,2.1
Medical Center Metro Station,Judiciary Square Metro Station,4,3.3,2,2
Medical Center Metro Station,Capitol South Metro Station,4.35,3.4,2.15,2.15
Medical Center Metro Station,Metro Center,3.85,3.2,1.9,1.9
Medical Center Metro Station,Gallery Pl-chinatown Metro Station,3.9,3.25,1.95,1.95
Medical Center Metro Station,Mount Vernon Square Metro Station,3.9,3.25,1.95,1.95
Medical Center Metro Station,U Street Metro Station,3.95,3.25,1.95,1.95
Medical Center Metro Station,Union Station Metro Station,4.15,3.4,2.05,2.05
Medical Center Metro Station,Congress Heights Metro Station,5.2,3.85,2.6,2.6
Medical Center Metro Station,Naylor Road Metro Station,5.6,3.85,2.8,2.8
Medical Center Metro Station,Suitland Metro Station,6,3.85,3,3
Medical Center Metro Station,Branch Ave Metro Station,6,3.85,3,3
Medical Center Metro Station,Braddock Road Metro Station,5.8,3.85,2.9,2.9
Medical Center Metro Station,King Street Metro Station,5.95,3.85,2.95,2.95
Medical Center Metro Station,Eisenhower Avenue Metro Station,6,3.85,3,3
Medical Center Metro Station,Huntington Metro Station,6,3.85,3,3
Medical Center Metro Station,Anacostia Metro Station,4.8,3.85,2.4,2.4
Medical Center Metro Station,Eastern Market Metro Station,4.45,3.65,2.2,2.2
Medical Center Metro Station,Potomac Ave Metro Station,4.65,3.8,2.3,2.3
Medical Center Metro Station,Stadium-armory Metro Station,4.75,3.85,2.35,2.35
Medical Center Metro Station,Rhode Island Ave Metro Station,4.25,3.4,2.1,2.1
Medical Center Metro Station,Minnesota Ave Metro Station,5.1,3.85,2.55,2.55
Medical Center Metro Station,Van Ness-udc Metro Station,2.7,2.35,1.35,1.35
Medical Center Metro Station,Cleveland Park Metro Station,2.9,2.5,1.45,1.45
Medical Center Metro Station,Columbia Heights Metro Station,3.95,3.3,1.95,1.95
Medical Center Metro Station,Spring Hill Metro Station,6,3.85,3,3
Medical Center Metro Station,Greensboro Metro Station,6,3.85,3,3
Medical Center Metro Station,Tysons Corner Metro Station,5.85,3.85,2.9,2.9
Medical Center Metro Station,Mclean Metro Station,5.65,3.85,2.8,2.8
Medical Center Metro Station,Wiehle-reston East Metro Station,6,3.85,3,3
Bethesda Metro Station,College Park-u Of Md Metro Station,5.35,3.85,2.65,2.65
Bethesda Metro Station,Capitol Heights Metro Station,5.4,3.85,2.7,2.7
Bethesda Metro Station,Morgan Boulevard Metro Station,6,3.85,3,3
Bethesda Metro Station,Georgia Ave-petworth Metro Station,3.8,3.15,1.9,1.9
Bethesda Metro Station,Takoma Metro Station,4.2,3.4,2.1,2.1
Bethesda Metro Station,Glenmont Metro Station,5.35,3.85,2.65,2.65
Bethesda Metro Station,Wheaton Metro Station,4.9,3.85,2.45,2.45
Bethesda Metro Station,Forest Glen Metro Station,4.55,3.7,2.25,2.25
Bethesda Metro Station,Silver Spring Metro Station,4.3,3.4,2.15,2.15
Bethesda Metro Station,Brookland-cua Metro Station,4.05,3.35,2,2
Bethesda Metro Station,Fort Totten Metro Station,4.1,3.4,2.05,2.05
Bethesda Metro Station,Prince George's Plaza Metro Station,4.85,3.85,2.4,2.4
Bethesda Metro Station,West Hyattsville Metro Station,4.6,3.75,2.3,2.3
Bethesda Metro Station,Benning Road Metro Station,5,3.85,2.5,2.5
Bethesda Metro Station,Addison Road-seat Pleasant Metro Station,5.7,3.85,2.85,2.85
Bethesda Metro Station,Deanwood Metro Station,5,3.85,2.5,2.5
Bethesda Metro Station,New Carrollton Metro Station,5.95,3.85,2.95,2.95
Bethesda Metro Station,Landover Metro Station,5.65,3.85,2.8,2.8
Bethesda Metro Station,Cheverly Metro Station,5.25,3.85,2.6,2.6
Bethesda Metro Station,Largo Town Center Metro Station,6,3.85,3,3
Bethesda Metro Station,Noma Metro,3.9,3.25,1.95,1.95
Bethesda Metro Station,Rosslyn Metro Station,3.85,3.2,1.9,1.9
Bethesda Metro Station,Arlington Cemetery Metro Station,4.1,3.4,2.05,2.05
Bethesda Metro Station,Dupont Circle Metro Station,3.2,2.6,1.6,1.6
Bethesda Metro Station,Pentagon Metro Station,4.25,3.4,2.1,2.1
Bethesda Metro Station,Crystal City Metro Station,4.55,3.75,2.25,2.25
Bethesda Metro Station,Navy Yard Metro Station,4.2,3.4,2.1,2.1
Bethesda Metro Station,Mcpherson Square Metro Station,3.55,3,1.75,1.75
Bethesda Metro Station,Shaw-howard U Metro,3.65,3.05,1.8,1.8
Bethesda Metro Station,Southern Ave Metro Station,5.15,3.85,2.55,2.55
Bethesda Metro Station,Greenbelt Metro Station,5.85,3.85,2.9,2.9
Bethesda Metro Station,Tenleytown-au Metro Station,2.25,2,1.1,1.1
