Dept,Arriv,ST_Peak,ST_Offpeak,RedST_Peak,RedST_Offpeak
Morgan Boulevard Metro Station,Capitol Heights Metro Station,2.25,2,1.1,1.1
Morgan Boulevard Metro Station,Morgan Boulevard Metro Station,0,0,0,0
Morgan Boulevard Metro Station,Georgia Ave-petworth Metro Station,4.75,3.85,2.35,2.35
Morgan Boulevard Metro Station,Takoma Metro Station,5.35,3.85,2.65,2.65
Morgan Boulevard Metro Station,Glenmont Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Wheaton Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Forest Glen Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Silver Spring Metro Station,5.75,3.85,2.85,2.85
Morgan Boulevard Metro Station,Brookland-cua Metro Station,4.55,3.7,2.25,2.25
Morgan Boulevard Metro Station,Fort Totten Metro Station,4.85,3.85,2.4,2.4
Morgan Boulevard Metro Station,Prince George's Plaza Metro Station,5.15,3.85,2.55,2.55
Morgan Boulevard Metro Station,West Hyattsville Metro Station,4.95,3.85,2.45,2.45
Morgan Boulevard Metro Station,Benning Road Metro Station,2.55,2.2,1.25,1.25
Morgan Boulevard Metro Station,Addison Road-seat Pleasant Metro Station,2.25,2,1.1,1.1
Morgan Boulevard Metro Station,Deanwood Metro Station,3.4,2.6,1.7,1.7
Morgan Boulevard Metro Station,New Carrollton Metro Station,4.05,3.35,2,2
Morgan Boulevard Metro Station,Landover Metro Station,3.75,3.1,1.85,1.85
Morgan Boulevard Metro Station,Cheverly Metro Station,3.5,2.6,1.75,1.75
Morgan Boulevard Metro Station,Largo Town Center Metro Station,2.25,2,1.1,1.1
Morgan Boulevard Metro Station,Noma Metro,4.25,3.4,2.1,2.1
Morgan Boulevard Metro Station,Rosslyn Metro Station,4.95,3.85,2.45,2.45
Morgan Boulevard Metro Station,Arlington Cemetery Metro Station,4.9,3.85,2.45,2.45
Morgan Boulevard Metro Station,Dupont Circle Metro Station,4.55,3.75,2.25,2.25
Morgan Boulevard Metro Station,Pentagon Metro Station,4.65,3.8,2.3,2.3
Morgan Boulevard Metro Station,Crystal City Metro Station,4.85,3.85,2.4,2.4
Morgan Boulevard Metro Station,Navy Yard Metro Station,4.15,3.15,2.05,1.9
Morgan Boulevard Metro Station,Mcpherson Square Metro Station,4.35,3.4,2.15,2.15
Morgan Boulevard Metro Station,Shaw-howard U Metro,4.35,3.4,2.15,2.15
Morgan Boulevard Metro Station,Southern Ave Metro Station,4.55,3.7,2.25,2.25
Morgan Boulevard Metro Station,Greenbelt Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Tenleytown-au Metro Station,5.45,3.85,2.7,2.7
Morgan Boulevard Metro Station,West Falls Church Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Dunn Loring-merrifield Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Vienna Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Friendship Heights Metro Station,5.65,3.85,2.8,2.8
Morgan Boulevard Metro Station,Shady Grove Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Rockville Metro Station,6,3.85,3,3
